weather	What's the weather like tomorrow
earn	montedison agrimont unit earnings montedison spa italy net consolidated profit for agrimont group formed june totalled billion lire agrimont spa holding company for montedison agro industrial businesses had sales billion lire and net profit billion lire amortization costs billion lire and billion lire reduction inventory due falling market prices montedison agrimont wholly owned montedison taking steps traded milan exchange company company that characterized unstable fertlizer market due weak dollar and decline international prices for products sold europe and agrimont operates conserv division pesticides and animal health care products agrimont maintained previous level revenues and market share montedison montedison named ettore dell isola newly created position president agrimont montedison named renato picco managing director eridania spa and gianfranco ceroni managing director italiana olii sifi members ferruzzi group management board argimont board directors ferruzzi owns pct montedison company reuter 
acq	datron datr agrees buyout officers datron corp agreed merge ggfh inc florida based company formed top officers company terms proposed transaction each share datron common stock excluding shares owned officers will bought for six dlrs share datron officers hold pct total datron common shares outstanding completion proposed transaction officers datron pct company merger subject gghf receiving financing for plan datron shareholders datron will asked approve plan annual meeting held june july and merger expected completed july reuter 
acq	trump and interstate properties talks acquire alexanders 
earn	sound warehouse inc swhi qtr feb net shr cts cts net revs mln mln mths shr cts cts net revs mln mln reuter 
acq	trump and interstate talks for alexanders donald trump and interstate properties holding preliminary discussions joint acquisition alexanders inc dlrs per share acquisition subject applicable real estate gains and transfer taxes joint statement trump and interstate presently pct alexander common stock intend company retailer succed acquisition can assurances that parties will reach agreement acquisition price offered statement reuter 
earn	telecrafter corp swhi qtr feb net shr profit cts loss cts net profit loss revs mln mln six months shr profit cts loss cts net profit loss revs mln mln note qtr and six months include gains dlrs and dlrs for tax loss carryforward reuter 
earn	colt industries inc cot qtr net shr cts cts net revs mln mln avg shrs mln mln note net reflects interest expense debt incurred finance recapitalization oct prior year earnings restated reflect recapitalization plan reuter 
acq	yankee ynk unit not sell subsidiary yankee cos inc eskey inc esk subsidiary decided not sell yale key unit details not disclosed reuter 
earn	mayfair super markets inc myfra qtr feb shr cts cts net mln mln revs mln mln six months shr dlrs cts net mln mln revs mln mln note share adjusted for for stock split reuter 
earn	baton broadcasting inc six mths feb net shr cts cts net revs mln mln reuter 
earn	united cable television corp uct qtr net shr loss cts profit cts net loss profit revs mln mln avg shrs mln mln mths shr loss cts profit cts net loss profit revs mln mln avg shrs mln mln note current year net periods includes pretax charge mln dlrs increase reserve for investments broadcast television entities and tax credits dlrs quarter and dlrs mths reuter 
acq	canada publishing takeover harcourt investment canada allowed indirect takeover holt rinehart and winston canada saunders canada and les editions hrw harcourt brace jovanovich canada inc government agency harcourt canada agreed sell control firms canadian interests two years harcourt canada parent harcourt brace jovanovich inc hbj indirectly acquired canadian book publishing companies purchased holt rinehart and winston cbs inc cbs last october reuter 
acq	talking point burlington industries bur largest textile maker focused business competitors found merger partners burlington industries inc restructured into attractive takeover candidate analysts takeover spotlight fell today burlington rose speculation that investor asher edelman and dominion textiles inc canada bought almost pct stake published report edelman and dominion jointly acquired stake burlington and weighing takeover offer edelman not comment and spokesman for montreal based dominion called report rumors burlington not report true wall street professionals not convinced story that edelman and dominion victors burlington into play arbitragers past comments dominion added credence speculation dominion that for takeover last year dominion unsuccessfully bid for avondale mills and maintained mln dlr line credit used for acquisition dominion spokesman canada largest textile producer negotiating textile companies not whether burlington acquisitions this area not unusual that burlington housecleaning eileen gormley thomson mckinnon burlington sold domestic operations made sheets and linens stevens and inc for mln dlrs last year reorganized management and focused operations businesses that affected foreign competition gormley pulled back not commodity marketer gormley moving heavily into industrial fabrics burlington bought masland supplies carpets and fabric auto industry past spent and never realized return outlays make you record year and poised profitable had past gormley estimated earnings dlrs per share dlrs per share analysts today recommended clients not buy burlington current levels edward johnson johnson redbook recommends selling believes stock worth dlrs takeover basis and dlrs earnings basis arbitragers takeover values company dlrs per share asher edelman recent history lot people don find credible anymore arbitrager another edelman succeeds forcing managements steps enhance shareholder values even doesn win target company edelman unsuccessful last year offers for lucky stores inc and fruehauf corp succeed buying ponderosa inc stocks textile makers rose burlington stevens stn climbed and fieldcrest cannon inc fld result merger fieldcrest and cannon rose west point pepperell inc wpm rose reuter 
earn	sterivet laboratories stvtf qtr net shr profit cts loss cts net profit loss revs reuter 
earn	sterivet laboratories stvtf year loss shr loss cts loss cts net loss loss revs reuter 
trade	japan last ditch effort avert tariffs senior japanese officials tomorrow open talks american trade negotiators last ditch effort avert high tariffs imposed wide variety japanese electronic exports makoto kuroda vice minister japan ministry international trade and industry miti hold two days meetings deputy trade representative michael smith and secretary commerce bruce smart tariffs into effect april retaliation for japan failure adhere agreement end dumping semiconductors world markets below cost and open home market semiconductor shipments imposed goods use semiconductors including television and audio equipment and computers and japanese officials likelihood talks avert pct duties mln dlrs worth japanese shipments president reagan announced planned tariffs march that close monitoring july japanese semiconductor pact convinced officials that japan not honoring agreement making annoucement reagan committed full enforcement trade agreements designed provide american industry free and fair trade trade analysts move aimed japan semiconductor trade practices injured semiconductor industry congress complained presidential timidity trade issues congressional democrats pledged enact aggressive trade laws counter contend reagan inaction redress growing trade deficit last year reached billion dlrs deficit japan reagan recent signs japan beginning adhere pact and that not terminating kuroda leaving tokyo today had proposals explanation semiconductor situation told daily newspaper ashai shimbun that reagan decision based inaccurate data and exaggerated sense miti power control japanese traders united states excessive expectations stabilize supply demand relations disrupted excess inventories since will time that firms had not aggressive sell japanese market reuter 
acq	hoechst celanese sends report facilities hoechst celanese corp propsective customers confidential report describing polyester textile fiber facilities north carolina and south carolina company not disclose prices report describes facilities darlington county and fayetteville company report decribes related manufacturing marketing administrative and technical resources that made avialable buyer hoechst celanese formed feb merger celanese corp and american hoechst corp merger place agreement reached federal trade commission that domestic polyester textile fiber assets combined companies divested hoechst celanese option divesting south carolina facilities american hoechst package polyester textile fiber facilities celanese reuter 
earn	mellon participating mortgage trust mpmts div qtly div cts cts prior payable record april reuter 
acq	gec declines comment purchase rumour general electric plc gecl gec declined comment rumours london stock market that planning another purchase medical equipment field addition existing subsidiary picker international inc gec spokesman that company policy not comment acquisition rumours stock exchange traders rumour helped gec share price rise final yesterday closing price reuter 
earn	preston corp ptrk sees quarter loss preston corp expects report loss dlrs cts per share for quarter compared profit dlrs cts per share year trucking company attributed loss continued rate discounted primary markets flat revenues and increased costs including uninsured claims expense resulting adverse weather conditions last months results northeast strong and expects show improved results for rest year reuter 
trade	white house standing firm japanese sanctions presidential spokesman marlin fitzwater trade sanctions japan likely effect april spite full court press japanese officials avoid indications will effect japan applying full court press putting feet forward terms explaining position fitzwater told reporters noted high level meetings trade dispute underway don can report and don official movement reuter 
earn	dow jones and inc quarter shr cts cts 
earn	hayes dana inc qtr net shr cts cts net revs mln mln note pct owned dana corp dcn reuter 
earn	electro rent corp elrc qtr feb net shr cts cts net revs mln mln mths shr cts dlrs net revs mln mln reuter 
earn	walgreen qtr shr cts cts 
earn	judy inc judy qtr jan loss shr loss two cts profit cts net loss profit sales mln mln year shr profit cts profit cts net profit profit sales mln mln reuter 
